%# Station Name        Ft. Pierce Inlet
%# Station ID          FPI0901             
%# Orientation         Up (Bottom Mounted)
%# Time Zone           UTC            
%# Approx. Depth       6.6ft / 2.01m  
%# Blank rows indicate missing data. See our data
%# disclaimer online.
%#
%# Date      Time        Speed (knots) Dir (true)
2008 11 25 23 45 00      2.12         259
2008 11 25 23 55 00      2.08         261
2008 11 26 00 05 00      1.91         261
2008 11 26 00 15 00      1.87         259
2008 11 26 00 25 00      1.80         260
2008 11 26 00 35 00      1.60         258
2008 11 26 00 45 00      1.37         255
2008 11 26 00 55 00      1.10         255
2008 11 26 01 05 00      0.92         253
2008 11 26 01 15 00      0.72         250
2008 11 26 01 25 00      0.46         238
2008 11 26 01 35 00      0.21         224
2008 11 26 01 45 00      0.26          95
2008 11 26 01 55 00      0.70          82
2008 11 26 02 05 00      1.09          81
2008 11 26 02 15 00      1.51          79
2008 11 26 02 25 00      1.83          79
2008 11 26 02 35 00      2.02          80
2008 11 26 02 45 00      2.19          81
2008 11 26 02 55 00      2.39          82
2008 11 26 03 05 00      2.61          81
2008 11 26 03 15 00      2.85          80
2008 11 26 03 25 00      2.83          80
2008 11 26 03 35 00      2.85          82
2008 11 26 03 45 00      2.95          81
2008 11 26 03 55 00      2.96          81
2008 11 26 04 05 00      2.98          81
2008 11 26 04 15 00      3.04          81
2008 11 26 04 25 00      2.99          81
2008 11 26 04 35 00      2.89          82
2008 11 26 04 45 00      2.97          82
2008 11 26 04 55 00      2.97          82
2008 11 26 05 05 00      2.88          82
2008 11 26 05 15 00      2.87          82
2008 11 26 05 25 00      2.82          81
2008 11 26 05 35 00      2.78          82
2008 11 26 05 45 00      2.64          81
2008 11 26 05 55 00      2.61          81
2008 11 26 06 05 00      2.55          81
2008 11 26 06 15 00      2.56          80
2008 11 26 06 25 00      2.32          81
2008 11 26 06 35 00      2.19          79
2008 11 26 06 45 00      2.02          77
2008 11 26 06 55 00      1.87          77
2008 11 26 07 05 00      1.72          80
2008 11 26 07 15 00      1.47          79
2008 11 26 07 25 00      1.23          76
2008 11 26 07 35 00      1.07          82
2008 11 26 07 45 00      0.70          93
2008 11 26 07 55 00      0.31         109
2008 11 26 08 05 00      0.09         286
2008 11 26 08 15 00      0.45         260
2008 11 26 08 25 00      0.84         258
2008 11 26 08 35 00      1.18         258
2008 11 26 08 45 00      1.72         255
2008 11 26 08 55 00      2.25         258
2008 11 26 09 05 00      2.46         260
2008 11 26 09 15 00      2.51         259
2008 11 26 09 25 00      2.49         259
2008 11 26 09 35 00      2.73         258
2008 11 26 09 45 00      2.84         259
2008 11 26 09 55 00      3.11         259
2008 11 26 10 05 00      3.23         258
2008 11 26 10 15 00      3.37         258
2008 11 26 10 25 00      3.47         257
2008 11 26 10 35 00      3.30         257
2008 11 26 10 45 00      3.31         259
2008 11 26 10 55 00      3.21         257
2008 11 26 11 05 00      3.30         258
2008 11 26 11 15 00      3.27         258
2008 11 26 11 25 00      3.37         257
2008 11 26 11 35 00      3.35         258
2008 11 26 11 45 00      3.35         257
2008 11 26 11 55 00      3.24         258
2008 11 26 12 05 00      3.21         258
2008 11 26 12 15 00      3.18         258
2008 11 26 12 25 00      2.98         258
2008 11 26 12 35 00      2.95         258
2008 11 26 12 45 00      2.80         257
2008 11 26 12 55 00      2.77         257
2008 11 26 13 05 00      2.74         257
2008 11 26 13 15 00      2.63         258
2008 11 26 13 25 00      2.51         257
2008 11 26 13 35 00      2.34         257
2008 11 26 13 45 00      2.17         258
2008 11 26 13 55 00      1.96         257
2008 11 26 14 05 00      1.69         257
2008 11 26 14 15 00      1.36         258
2008 11 26 14 25 00      1.14         257
2008 11 26 14 35 00      0.85         252
2008 11 26 14 45 00      0.52         255
2008 11 26 14 55 00      0.09         340
2008 11 26 15 05 00      0.47          73
2008 11 26 15 15 00      1.00          79
2008 11 26 15 25 00      1.59          79
2008 11 26 15 35 00      2.08          78
2008 11 26 15 45 00      2.41          80
2008 11 26 15 55 00      2.70          80
2008 11 26 16 05 00      2.80          80
2008 11 26 16 15 00      2.86          79
2008 11 26 16 25 00      3.03          79
2008 11 26 16 35 00      2.99          80
2008 11 26 16 45 00      3.12          81
2008 11 26 16 55 00      3.17          82
2008 11 26 17 05 00      3.08          82
2008 11 26 17 15 00      3.13          82
2008 11 26 17 25 00      3.09          81
2008 11 26 17 35 00      3.13          82
2008 11 26 17 45 00      2.99          82
2008 11 26 17 55 00      3.07          82
2008 11 26 18 05 00      2.97          82
2008 11 26 18 15 00      2.98          82
2008 11 26 18 25 00      2.90          82
2008 11 26 18 35 00      2.85          82
2008 11 26 18 45 00      2.78          82
2008 11 26 18 55 00      2.77          80
2008 11 26 19 05 00      2.69          80
2008 11 26 19 15 00      2.73          80
2008 11 26 19 25 00      2.68          79
2008 11 26 19 35 00      2.59          78
2008 11 26 19 45 00      2.41          78
2008 11 26 19 55 00      2.20          78
2008 11 26 20 05 00      1.99          78
2008 11 26 20 15 00      1.83          80
2008 11 26 20 25 00      1.62          82
2008 11 26 20 35 00      1.43          84
2008 11 26 20 45 00      1.21          89
2008 11 26 20 55 00      0.99          91
2008 11 26 21 05 00      0.77          91
2008 11 26 21 15 00      0.42          79
2008 11 26 21 25 00      0.13          38
2008 11 26 21 35 00      0.19         263
2008 11 26 21 45 00      0.55         257
2008 11 26 21 55 00      0.93         261
2008 11 26 22 05 00      1.35         258
2008 11 26 22 15 00      1.84         259
2008 11 26 22 25 00      2.08         257
2008 11 26 22 35 00      2.22         259
2008 11 26 22 45 00      2.34         259
2008 11 26 22 55 00      2.28         258
2008 11 26 23 05 00      2.33         258
2008 11 26 23 15 00      2.40         258
2008 11 26 23 25 00      2.48         258
2008 11 26 23 35 00      2.53         260
2008 11 26 23 45 00      2.51         258
2008 11 26 23 55 00      2.50         257
2008 11 27 00 05 00      2.49         257
2008 11 27 00 15 00      2.37         257
2008 11 27 00 25 00      2.22         258
2008 11 27 00 35 00      2.21         258
2008 11 27 00 45 00      2.02         258
2008 11 27 00 55 00      1.90         259
2008 11 27 01 05 00      1.79         259
2008 11 27 01 15 00      1.61         258
2008 11 27 01 25 00      1.49         261
2008 11 27 01 35 00      1.27         259
2008 11 27 01 45 00      0.93         261
2008 11 27 01 55 00      0.71         261
2008 11 27 02 05 00      0.42         254
2008 11 27 02 15 00      0.15         256
2008 11 27 02 25 00      0.16          86
2008 11 27 02 35 00      0.49          72
2008 11 27 02 45 00      0.95          80
2008 11 27 02 55 00      1.54          80
2008 11 27 03 05 00      1.92          79
2008 11 27 03 15 00      2.19          79
2008 11 27 03 25 00      2.45          80
2008 11 27 03 35 00      2.50          80
2008 11 27 03 45 00      2.75          80
2008 11 27 03 55 00      2.89          79
2008 11 27 04 05 00      2.91          81
2008 11 27 04 15 00      2.85          82
2008 11 27 04 25 00      2.88          82
2008 11 27 04 35 00      2.94          82
2008 11 27 04 45 00      3.01          81
2008 11 27 04 55 00      2.90          81
2008 11 27 05 05 00      2.91          82
2008 11 27 05 15 00      2.90          82
2008 11 27 05 25 00      2.98          81
2008 11 27 05 35 00      3.01          79
2008 11 27 05 45 00      2.95          80
2008 11 27 05 55 00      2.99          80
2008 11 27 06 05 00      2.98          79
2008 11 27 06 15 00      2.93          80
2008 11 27 06 25 00      2.88          79
2008 11 27 06 35 00      2.88          79
2008 11 27 06 45 00      2.84          80
2008 11 27 06 55 00      2.72          79
2008 11 27 07 05 00      2.44          79
2008 11 27 07 15 00      2.24          79
2008 11 27 07 25 00      2.06          80
2008 11 27 07 35 00      1.92          81
2008 11 27 07 45 00      1.77          82
2008 11 27 07 55 00      1.58          83
2008 11 27 08 05 00      1.36          90
2008 11 27 08 15 00      1.02          90
2008 11 27 08 25 00      0.68          81
2008 11 27 08 35 00      0.47          70
2008 11 27 08 45 00      0.19          61
2008 11 27 08 55 00      0.12         262
2008 11 27 09 05 00      0.58         265
2008 11 27 09 15 00      0.86         258
2008 11 27 09 25 00      1.15         256
2008 11 27 09 35 00      1.78         259
2008 11 27 09 45 00      2.49         259
2008 11 27 09 55 00      2.70         260
2008 11 27 10 05 00      2.77         260
2008 11 27 10 15 00      2.75         259
2008 11 27 10 25 00      2.82         259
2008 11 27 10 35 00      2.84         259
2008 11 27 10 45 00      2.86         259
2008 11 27 10 55 00      2.90         259
2008 11 27 11 05 00      2.80         260
2008 11 27 11 15 00      2.86         258
2008 11 27 11 25 00      3.02         259
2008 11 27 11 35 00      3.13         259
2008 11 27 11 45 00      3.13         259
2008 11 27 11 55 00      3.06         259
2008 11 27 12 05 00      3.13         260
2008 11 27 12 15 00      3.02         260
2008 11 27 12 25 00      3.08         260
2008 11 27 12 35 00      3.24         260
2008 11 27 12 45 00      3.17         259
2008 11 27 12 55 00      3.09         259
2008 11 27 13 05 00      3.09         260
2008 11 27 13 15 00      2.95         259
2008 11 27 13 25 00      2.83         260
2008 11 27 13 35 00      2.85         260
2008 11 27 13 45 00      2.73         259
2008 11 27 13 55 00      2.67         259
2008 11 27 14 05 00      2.47         258
2008 11 27 14 15 00      2.37         259
2008 11 27 14 25 00      2.23         259
2008 11 27 14 35 00      2.00         260
2008 11 27 14 45 00      1.73         259
2008 11 27 14 55 00      1.49         259
2008 11 27 15 05 00      1.12         259
2008 11 27 15 15 00      0.68         263
2008 11 27 15 25 00      0.31         267
2008 11 27 15 35 00      0.18          37
2008 11 27 15 45 00      0.59          75
2008 11 27 15 55 00      1.05          79
2008 11 27 16 05 00      1.55          79
2008 11 27 16 15 00      1.93          78
2008 11 27 16 25 00      2.20          79
2008 11 27 16 35 00      2.60          80
2008 11 27 16 45 00      2.82          81
2008 11 27 16 55 00      2.93          80
2008 11 27 17 05 00      3.00          80
2008 11 27 17 15 00      3.02          81
2008 11 27 17 25 00      2.94          82
2008 11 27 17 35 00      2.97          83
2008 11 27 17 45 00      3.00          81
2008 11 27 17 55 00      2.98          82
2008 11 27 18 05 00      3.01          83
